size,rm,qm,rl2,ql2,rvar,qvar,rl3,ql3,rtm,qtm,rl4,ql4,rfm,qfm
82,0.430153319,0.82846527,0.499406461,0.658847735,0.98381091,0.558941396,0.461758986,0.61865872,2.291752379,0.279382729,-15.378263,-0.245392235,4.607579382,-0.175670735
83,0.428884326,0.512269199,0.494420203,0.63184162,0.975897826,0.559170747,0.418636789,0.693043501,2.222554166,0.296597129,-69.30512584,-0.132073552,4.583695482,-0.17328246
84,0.427075661,0.819837973,0.484716606,0.656753109,0.969771433,0.573088924,0.380366416,0.720182718,2.190854264,0.299768098,-6.582061531,-0.280779412,4.531847711,-0.167280128
85,0.42501219,0.87113697,0.491177691,0.628460174,0.970903906,0.573326203,0.428339074,0.699442061,2.228376067,0.287014333,-39.87528465,-0.156950974,4.510875301,-0.155365373
86,0.424306166,0.811545817,0.506901592,0.638668767,0.988316211,0.588527537,0.403617385,0.71497663,2.185427495,0.313825058,-35.63608239,-0.235394022,4.589475214,-0.171938555
87,0.424903016,0.8621563,0.508231826,0.626100551,0.988687268,0.536807024,0.365818993,0.767930807,2.138325666,0.339781405,-60.21889285,-0.111699462,4.582965641,-0.176210526
88,0.425250234,0.54807175,0.476189339,0.640566761,0.950436116,0.612197439,0.387163862,0.739668186,2.220595713,0.294875318,-16.09665925,-0.214486416,4.545946562,-0.160287294
89,0.425064069,0.853520086,0.504553141,0.654067885,0.97459283,0.584769756,0.41947239,0.703889633,2.20205707,0.310524712,-12.58608183,-0.168778903,4.558590569,-0.164524684
90,0.424762775,0.902961169,0.462257117,0.679583172,0.937888181,0.616501316,0.347390878,0.787224105,2.137312702,0.331208707,22.49213837,-0.113537661,4.450168043,-0.156633862
91,0.423819803,0.586359861,0.48380573,0.638640078,0.963241793,0.574876931,0.424430081,0.662884052,2.252778556,0.293563167,-32.32867581,-0.175320424,4.592419283,-0.177747006
92,0.422786095,0.894013839,0.491645948,0.635712752,0.964468974,0.583108631,0.396694772,0.728977857,2.195120239,0.313335635,8.735570062,-0.083419801,4.471671614,-0.147183455
93,0.421313466,0.581896541,0.481863003,0.640056981,0.953466014,0.593550209,0.415848099,0.691020308,2.208406954,0.315491374,-48.47326909,-0.135024939,4.434431031,-0.140973219
94,0.419632934,0.623395249,0.484908116,0.639125166,0.955576459,0.576332806,0.396297361,0.73230095,2.139926059,0.350093649,-12.46146507,-0.16015742,4.425633132,-0.143406429
95,0.419055339,0.933124936,0.46865487,0.651044208,0.949873069,0.597176188,0.404878101,0.704112692,2.153421109,0.340501474,9.614141445,-0.043823945,4.404191675,-0.146479233
96,0.419540777,0.618607743,0.477620079,0.650614744,0.949931802,0.594207696,0.414019914,0.671290112,2.16621847,0.336566008,7.109497123,-0.076123552,4.387874324,-0.134908664
97,0.419822314,0.924232799,0.480641618,0.647447495,0.957446419,0.572994238,0.375137433,0.739694437,2.167349539,0.33825801,77.12864349,-0.106490447,4.410929516,-0.129597606
98,0.419669489,0.613952012,0.481633502,0.642883176,0.953839737,0.584612465,0.383261423,0.744768109,2.148560456,0.342142394,-65.2338013,-0.17139378,4.479074614,-0.156854356
99,0.419422587,0.654168475,0.481722161,0.654897502,0.95462613,0.576092333,0.364952293,0.776674199,2.152689642,0.327670063,10.50529993,-0.059334034,4.321811393,-0.126009515
100,0.41864004,0.961799128,0.478942839,0.648576992,0.949655364,0.59828551,0.357764908,0.783152194,2.130203437,0.356919514,-33.28286272,-0.143229607,4.353236131,-0.118634873
101,0.417781743,0.649223439,0.44449183,0.703729539,0.911672827,0.633804729,0.401003323,0.713378148,2.16973001,0.335297317,-12.45087901,-0.168541879,4.427590853,-0.133975672
102,0.416559509,0.688647173,0.453873004,0.677585536,0.916704474,0.641057767,0.356023161,0.780447414,2.103296844,0.358773987,-15.23533256,-0.171931873,4.355543518,-0.128517766
103,0.415164464,0.644415172,0.474895265,0.669920904,0.947776577,0.594541443,0.381272695,0.7582298,2.141124526,0.327249924,62.06285972,-0.107459282,4.387659138,-0.134536981
104,0.414683213,0.683434123,0.459455708,0.668291352,0.92660094,0.61846561,0.379095974,0.746280755,2.121458843,0.357769163,27.5685213,-0.123966523,4.42214193,-0.130952772
105,0.415085702,0.722106091,0.450759528,0.678684522,0.918640506,0.60444759,0.417903565,0.708284517,2.191309056,0.309602382,350.335432,-0.060398693,4.224761569,-0.097705588
106,0.415318533,0.678366171,0.479780203,0.633781951,0.944012902,0.607650589,0.37888253,0.745348075,2.133862136,0.347821092,-43.68258672,-0.134117853,4.32891354,-0.124686171
107,0.415190834,0.716644703,0.474493615,0.659402619,0.945394417,0.598437203,0.397866226,0.715857122,2.165916069,0.335969263,-11.22177413,-0.133129448,4.343043984,-0.12047513
108,0.41498483,1.02417937,0.473665356,0.634628273,0.943952941,0.598798956,0.318724624,0.842532881,2.050063335,0.396599839,5.538746038,0.052737001,4.245764447,-0.094407369
117,0.411238626,0.768957721,0.471531016,0.646633081,0.93456125,0.623988324,0.398383886,0.733839514,2.112842214,0.362412463,-16.13913281,-0.190044285,4.285612086,-0.116916744
225,0.389818482,0.88147762,0.401900256,0.756670339,0.852467541,0.704053082,0.278042051,0.90731602,1.924325839,0.452169815,2.831171943,0.140821278,3.874901931,-0.003409446
333,0.382356665,0.732796849,0.40020282,0.741751044,0.842815874,0.735598413,0.211568094,1.075844858,1.850909152,0.497966082,0.088920942,0.863992688,3.739028144,0.026028986
441,0.378562525,0.794850043,0.389908223,0.791721549,0.829876,0.724665053,0.208571191,1.091939297,1.822158554,0.515344215,1.405937533,0.291837298,3.687031955,0.040116839
549,0.376265419,0.835012845,0.395035625,0.785280155,0.827048758,0.755367723,0.22535683,1.016204654,1.854069926,0.502422234,1.214835353,0.335223418,3.647722648,0.067549756
657,0.374725331,0.806697817,0.379719826,0.80134439,0.817770675,0.746600076,0.182522171,1.161976361,1.785684275,0.534098233,-0.246282658,NA,3.572891899,0.0538954
765,0.373620985,0.798871427,0.380678636,0.820551934,0.815457146,0.748166755,0.207670282,1.096088763,1.815101419,0.536824629,-0.158128321,NA,3.514915366,0.0954269
873,0.372790372,0.823493135,0.399604817,0.775923422,0.83461413,0.735482559,0.172775808,1.196911782,1.773216045,0.538566691,0.286653161,0.557212015,3.578568714,0.084164591
981,0.37214294,0.805924144,0.368047348,0.817231554,0.798427214,0.77827553,0.19923972,1.1194104,1.789189184,0.528800721,0.531124002,0.510276935,3.519175061,0.093817476
1089,0.371624111,0.800504654,0.36063478,0.819917417,0.792417746,0.792226371,0.214582268,1.063629878,1.832876986,0.500765205,1.719837825,0.330241727,3.529241111,0.091941328
1197,0.371199028,0.81826873,0.356374154,0.829110726,0.789288973,0.795079809,0.189386739,1.147053871,1.795784,0.521222909,0.086382394,0.879519795,3.56339529,0.081806173
1305,0.370844389,0.805536684,0.382009928,0.796141426,0.812976498,0.741689559,0.197661879,1.132486235,1.805835071,0.546098994,-0.525581246,NA,3.537004879,0.093784797
1413,0.370544023,0.820297098,0.376557052,0.800947149,0.812031061,0.753807491,0.205316743,1.10424512,1.765781604,0.547190821,0.315204826,0.521162927,3.61724772,0.060783905
2493,0.368972616,0.821804629,0.364489158,0.852985951,0.792011085,0.795726896,0.208687324,1.076302307,1.790529731,0.541379935,1.472782197,0.270356092,3.594339941,0.070251772
3573,0.368351599,0.812248642,0.376362962,0.809907297,0.805001926,0.762221411,0.157158847,1.249961859,1.735722817,0.557909265,0.473798874,0.433057419,3.533664705,0.099719265
4653,0.368018967,0.820713509,0.376531243,0.789783256,0.802919019,0.752282195,0.158472293,1.268587013,1.735064676,0.576223842,-0.347442224,NA,3.504415604,0.103167877
5400,0.367811693,0.821290569,0.373054567,0.795555622,0.802396206,0.779300156,0.156461132,1.240422489,1.711867579,0.584902088,-0.468297462,NA,3.461708333,0.095187857
