size,rm,qm,rl2,ql2,rvar,qvar,rl3,ql3,rtm,qtm,rl4,ql4,rfm,qfm
73,0,1.00E+06,0.769876513,0.269153303,0.849431651,0.507044173,0,1.00E+06,0,1.00E+06,-0.852828819,NA,2.502347576,-0.126133359
74,0,1.00E+06,0.748371023,0.273936246,0.837376916,0.514254286,0,1.00E+06,0,1.00E+06,-0.96075606,NA,2.527634495,-0.134796913
75,0,1.00E+06,0.754546612,0.292655194,0.827633212,0.521985242,0,1.00E+06,0,1.00E+06,-0.909989983,NA,2.452163654,-0.110101496
76,0,1.00E+06,0.770804207,0.26749295,0.847810768,0.471148485,0,1.00E+06,0,1.00E+06,-0.994080962,NA,2.477744662,-0.117357371
77,0,1.00E+06,0.728926329,0.33593615,0.821597199,0.464175916,0,1.00E+06,0,1.00E+06,-0.757451948,NA,2.41204035,-0.102545622
78,0,1.00E+06,0.719018523,0.36380308,0.803717971,0.533622213,0,1.00E+06,0,1.00E+06,-0.916513397,NA,2.446358466,-0.112048211
79,0,1.00E+06,0.740984433,0.325656823,0.821874348,0.48048961,0,1.00E+06,0,1.00E+06,-0.937618371,NA,2.405679677,-0.094277936
80,0,1.00E+06,0.727932697,0.285225363,0.812780285,0.488726368,0,1.00E+06,0,1.00E+06,-0.867917558,NA,2.424062551,-0.102052786
81,0,1.00E+06,0.766339283,0.284047704,0.835394053,0.455672247,0,1.00E+06,0,1.00E+06,-0.902131874,NA,2.389325037,-0.094391396
82,0,1.00E+06,0.707916725,0.313755915,0.797348201,0.512590783,0,1.00E+06,0,1.00E+06,-0.897779346,NA,2.38676041,-0.079531446
83,0,1.00E+06,0.711275492,0.336321436,0.799870454,0.505236562,0,1.00E+06,0,1.00E+06,-0.87885831,NA,2.387747486,-0.090339012
84,0,1.00E+06,0.743607088,0.258409974,0.81374887,0.500563666,0,1.00E+06,0,1.00E+06,-1.059553885,NA,2.325986462,-0.071467313
85,0,1.00E+06,0.691885589,0.379740403,0.790240768,0.519583869,0,1.00E+06,0,1.00E+06,-0.888207053,NA,2.375932013,-0.088966546
86,0,1.00E+06,0.710373588,0.307341961,0.795968487,0.519474829,0,1.00E+06,0,1.00E+06,-0.841193189,NA,2.286967869,-0.051847383
87,0,1.00E+06,0.756447095,0.257770693,0.824727978,0.469410844,0,1.00E+06,0,1.00E+06,-0.802629373,NA,2.29829483,-0.061375453
88,0,1.00E+06,0.735735067,0.269162519,0.813113816,0.512765349,0,1.00E+06,0,1.00E+06,-0.927561355,NA,2.270298336,-0.051759152
89,0,1.00E+06,0.744603476,0.280903581,0.818285388,0.493900518,0,1.00E+06,0,1.00E+06,-0.9464906,NA,2.282969318,-0.052417983
90,0,1.00E+06,0.740708478,0.285160274,0.812683101,0.483445032,0,1.00E+06,0,1.00E+06,-0.892156216,NA,2.27166961,-0.045683935
91,0,1.00E+06,0.669114192,0.337133071,0.762240201,0.584552842,0,1.00E+06,0,1.00E+06,-0.910663407,NA,2.303583309,-0.065871215
92,0,1.00E+06,0.686051257,0.342651751,0.776293098,0.544150246,0,1.00E+06,0,1.00E+06,-0.884693595,NA,2.214466079,-0.02429131
93,0,1.00E+06,0.662733264,0.353228372,0.764827425,0.575250716,0,1.00E+06,0,1.00E+06,-0.887985516,NA,2.267007838,-0.052639202
94,0,1.00E+06,0.645048611,0.354888594,0.750025326,0.556019651,0,1.00E+06,0,1.00E+06,-0.918736327,NA,2.254328064,-0.036315507
95,0,1.00E+06,0.636786011,0.353722826,0.739956535,0.564096202,0,1.00E+06,0,1.00E+06,-0.826596091,NA,2.257003,-0.039994143
96,0,1.00E+06,0.65584934,0.361086441,0.751735604,0.566763726,0,1.00E+06,0,1.00E+06,-0.808589138,NA,2.192623819,-0.0164638
97,0,1.00E+06,0.681120898,0.319441241,0.767150452,0.565777841,0,1.00E+06,0,1.00E+06,-0.790182693,NA,2.202332027,-0.021942648
98,0,1.00E+06,0.643946731,0.380837928,0.748477021,0.551066387,0,1.00E+06,0,1.00E+06,-0.817749602,NA,2.193012005,-0.025682071
99,0,1.00E+06,0.70839334,0.281249488,0.78092347,0.536070191,0,1.00E+06,0,1.00E+06,-0.692193807,NA,2.158366881,-0.012503113
100,0,1.00E+06,0.656708818,0.345971471,0.753777989,0.575528407,0,1.00E+06,0,1.00E+06,-0.767030809,NA,2.153712617,0.009711751
101,0,1.00E+06,0.696962471,0.283962381,0.780440428,0.543560676,0,1.00E+06,0,1.00E+06,-0.715896573,NA,2.161362504,-0.018352878
102,0,1.00E+06,0.653812744,0.332299835,0.746752134,0.568142634,0,1.00E+06,0,1.00E+06,-0.713899265,NA,2.090352119,0.031378117
103,0,1.00E+06,0.650765699,0.334038218,0.746569658,0.554620092,0,1.00E+06,0,1.00E+06,-0.824343425,NA,2.183113045,-0.01591189
104,0,1.00E+06,0.622639509,0.349458711,0.727419535,0.61333735,0,1.00E+06,0,1.00E+06,-0.754794286,NA,2.138755317,0.011609097
105,0,1.00E+06,0.651572572,0.320109133,0.743823873,0.605779732,0,1.00E+06,0,1.00E+06,-0.817345947,NA,2.134321432,0.009436042
106,0,1.00E+06,0.59075838,0.401243392,0.707818756,0.608898383,0,1.00E+06,0,1.00E+06,-0.697462252,NA,2.101910892,0.01393707
107,0,1.00E+06,0.650003133,0.379540354,0.747776834,0.565240805,0,1.00E+06,0,1.00E+06,-0.740840689,NA,2.136935869,-0.001402445
108,0,1.00E+06,0.634412981,0.35403895,0.733737778,0.584228038,0,1.00E+06,0,1.00E+06,-0.836675089,NA,2.198598893,-0.030459009
117,0,1.00E+06,0.623043721,0.340941145,0.721768141,0.592206314,0,1.00E+06,0,1.00E+06,-0.703467874,NA,2.058713284,0.034287518
225,0,1.00E+06,0.465392174,0.512714719,0.592270311,0.7654654,0,1.00E+06,0,1.00E+06,-0.365193246,NA,1.705897673,0.192016091
333,0,1.00E+06,0.475286086,0.520495727,0.588728683,0.782866918,0,1.00E+06,0,1.00E+06,-0.185000464,NA,1.528512881,0.323585845
441,0,1.00E+06,0.421818211,0.57800998,0.556401366,0.847192966,0,1.00E+06,0,1.00E+06,-0.107074167,NA,1.503159865,0.324858598
549,0,1.00E+06,0.415972775,0.563644763,0.546733506,0.834165882,0,1.00E+06,0,1.00E+06,-0.033784784,NA,1.446144529,0.350941401
657,0,1.00E+06,0.427067213,0.565429037,0.553267278,0.846101133,0,1.00E+06,0,1.00E+06,-0.103355432,NA,1.458910989,0.350529583
765,0,1.00E+06,0.432351723,0.576157612,0.554058778,0.844167136,0,1.00E+06,0,1.00E+06,-0.079400143,NA,1.37212299,0.426141506
873,0,1.00E+06,0.382740829,0.61864365,0.520223966,0.870087007,0,1.00E+06,0,1.00E+06,0.05616795,0.823048795,1.360024488,0.425643154
981,0,1.00E+06,0.403444072,0.590478239,0.530931732,0.892674687,0,1.00E+06,0,1.00E+06,-0.119094044,NA,1.379595004,0.429129309
1089,0,1.00E+06,0.372470254,0.625161655,0.515823399,0.885772845,0,1.00E+06,0,1.00E+06,0.194544206,0.498892311,1.366097099,0.409665022
1197,0,1.00E+06,0.36715305,0.625295734,0.514896247,0.890868771,0,1.00E+06,0,1.00E+06,-0.069197507,NA,1.380841272,0.404255784
1305,0,1.00E+06,0.391306475,0.607316927,0.526369298,0.882846169,0,1.00E+06,0,1.00E+06,0.101701398,0.712075214,1.388734039,0.402145045
1413,0,1.00E+06,0.360866492,0.643280175,0.510017904,0.897533184,0,1.00E+06,0,1.00E+06,-0.01880279,NA,1.327994919,0.463453986
2493,0,1.00E+06,0.328105035,0.706174894,0.478327297,0.958795838,0,1.00E+06,0,1.00E+06,0.098881054,0.681132575,1.346438718,0.427308669
3573,0,1.00E+06,0.358793506,0.657834859,0.501754289,0.927181518,0,1.00E+06,0,1.00E+06,0.130216254,0.600269637,1.298764856,0.481743314
4653,0,1.00E+06,0.39871223,0.613338872,0.528480753,0.882725542,0,1.00E+06,0,1.00E+06,-0.106010198,NA,1.305213316,0.4666485
5400,0,1.00E+06,0.366469863,0.62684934,0.500966266,0.929621427,0,1.00E+06,0,1.00E+06,0.142760645,0.604290288,1.297457985,0.470013012
